Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
Agi Infra Limited,AGIIL.NS,39.968204,6.29,0.25873,42.327,0.1
Agri-Tech (India) Limited,AGRITECH.NS,,-0.73,,,
Agro Phos India Limited,AGROPHOS.NS,15.798388,2.48,0.17263001,37.092,0.272
AGS Transact Technologies Limited,AGSTRA.NS,,-13.96,,199.958,-0.439
Anlon Healthcare Limited,AHCL.NS,28.561886,5.09,,26.981,1.16
Ahlada Engineers Limited,AHLADA.NS,27.65746,1.81,0.01694,26.993,-0.094
Asian Hotels (East) Limited,AHLEAST.NS,166.2125,0.8,0.00599,154.746,0.132
Ahluwalia Contracts (India) Limited,AHLUCONT.NS,25.704441,39.18,0.14632,3.881,0.164
AIA Engineering Limited,AIAENG.NS,32.202785,120.62,0.16348,13.852,0.003
Authum Investment & Infrastructure Limited,AIIL.NS,12.213233,236.08,0.27507,20.291,-0.468
Airan Limited,AIRAN.NS,100.666664,0.18,0.01619,0.678,0.002
Airo Lam limited,AIROLAM.NS,56.233337,1.8,0.10349,117.642,0.194
Ajanta Pharma Limited,AJANTPHARM.NS,34.41037,77.93,0.24365999,5.698,0.141
Ajax Engineering Limited,AJAXENGG.NS,26.974463,21.93,0.22328,0.043,0.478
Ajmera Realty & Infra India Limited,AJMERA.NS,29.277914,32.96,0.10551,47.19,0.095
Ajooni Biotech Limited,AJOONI.NS,22.1,0.2,0.045500003,9.879,0.225
Akash Infra-Projects Limited,AKASH.NS,27.619564,0.92,0.018509999,102.888,0.311
Akg Exim Limited,AKG.NS,59.857143,0.21,0.012610001,20.638,-0.312
AKI India Limited,AKI.NS,36.578945,0.19,0.0207,26.026,1.03
Akshar Spintex Limited,AKSHAR.NS,,-0.09,-0.10443,5.75,-0.037
AksharChem India Limited,AKSHARCHEM.NS,103.05439,2.39,0.00733,28.443,0.131
Aksh Optifibre Limited,AKSHOPTFBR.NS,,-1.28,-1.79515,,0.194
Akums Drugs and Pharmaceuticals Limited,AKUMS.NS,21.420345,20.84,0.107489996,2.85,-0.015
Akzo Nobel India Limited,AKZOINDIA.NS,7.1456676,437.16,1.08163,3.157,-0.15
Alankit Limited,ALANKIT.NS,15.73913,0.69,0.06554,7.408,0.356
Albert David Limited,ALBERTDAVD.NS,,-26.43,-0.03737,10.514,-0.114
Alembic Limited,ALEMBICLTD.NS,7.997621,12.61,0.13549,0.496,0.056
Alicon Castalloy Limited,ALICON.NS,41.39135,20.34,0.055409998,57.003,-0.077
Alivus Life Sciences Limited,ALIVUS.NS,21.024334,43.15,0.191,2.005,0.16
Alkali Metals Limited,ALKALI.NS,,-2.6,-0.060879998,,0.053
Alkem Laboratories Limited,ALKEM.NS,28.012552,197.59,0.18741,17.056,0.172
Alkyl Amines Chemicals Limited,ALKYLAMINE.NS,44.41573,35.6,,0.394,0.015
Allcargo Logistics Limited,ALLCARGO.NS,53.449997,0.2,0.01914,,1.119
Alldigi Tech Limited,ALLDIGI.NS,17.439983,47.07,0.27868,33.037,0.122
All Time Plastics Limited,ALLTIME.NS,44.55858,5.89,,22.351,0.125
Almondz Global Securities Limited,ALMONDZ.NS,15.0353985,1.13,0.07742,18.84,-0.017
Alok Industries Limited,ALOKINDS.NS,,-1.37,,,0.063
Alpa Laboratories Limited,ALPA.NS,8.628248,8.85,0.10696,,0.053
Alphageo (India) Limited,ALPHAGEO.NS,,-25.98,-0.06102,,-0.722
Alps Industries Limited,ALPSINDUS.NS,,-16.97,,,-0.701
Amanta Healthcare Limited,AMANTA.NS,31.131195,3.43,,88.22,0.062
Amber Enterprises India Limited,AMBER.NS,102.97214,64.6,0.077810004,74.27,-0.022
