Company,Ticker,PE,EPS,ROE,DebtEquity,RevenueGrowth
BirlaNu Limited,BIRLANU.NS,,-138.39,-0.085,88.333,0.046
BLACKBUCK LIMITED,BLACKBUCK.NS,39.852676,16.63,0.35064,3.633,0.53
BEML Land Assets Limited,BLAL.NS,,-1.0,,,
BLB Limited,BLBLIMITED.NS,5.927966,2.36,0.11095,0.17,0.995
Bliss GVS Pharma Limited,BLISSGVS.NS,16.171677,10.31,0.10414,4.493,0.123
B. L. Kashyap and Sons Limited,BLKASHYAP.NS,5020.0,0.01,0.00014999999,58.747,0.329
BLS International Services Limited,BLS.NS,21.916496,14.61,0.31094,16.545,0.488
BLS E-Services Limited,BLSE.NS,33.593548,6.2,0.13281,1.361,2.496
Blue Coast Hotels Limited,BLUECOAST.NS,,-7.35,,,
Blue Dart Express Limited,BLUEDART.NS,48.572193,112.06,0.17432,66.24,0.07
Blue Jet Healthcare Limited,BLUEJET.NS,26.06404,20.3,0.32333001,1.643,-0.205
Blue Star Limited,BLUESTARCO.NS,66.16279,26.66,0.18671,33.084,0.064
BlueStone Jewellery and Lifestyle Limited,BLUESTONE.NS,,-10.88,,113.663,0.376
Bluspring Enterprises Limited,BLUSPRING.NS,,,,31.894,0.113
BMW Ventures Limited,BMWVENTLTD.NS,15.494709,3.78,,107.33,0.062
Bodal Chemicals Limited,BODALCHEM.NS,19.099644,2.81,0.03215,77.215,0.121
Bohra Industries Limited,BOHRAIND.NS,,-2.83,-0.05726,1.562,
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS,27.5414,4.71,0.04038,0.13,-0.047
Borana Weaves Limited,BORANA.NS,33.478016,8.87,,17.66,0.349
Borosil Limited,BOROLTD.NS,39.00275,7.27,0.10786,9.413,0.243
BOROSIL RENEWABLES LIMITED,BORORENEW.NS,,-14.15,-0.22907,22.805,0.017
Borosil Scientific Limited,BOROSCI.NS,89.5303,1.32,0.029000001,2.192,0.042
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL.NS,144.99025,10.26,0.052550003,37.841,0.022
Bosch Limited,BOSCHLTD.NS,39.466587,908.49,0.20058,0.778,0.091
Bharat Petroleum Corporation Limited,BPCL.NS,7.3656673,49.69,0.24822001,56.386,0.021
BPL Limited,BPL.NS,,-3.0,,47.01,-0.051
Brigade Enterprises Limited,BRIGADE.NS,26.611732,33.07,0.13221,75.557,0.29
Brigade Hotel Ventures Limited,BRIGHOTEL.NS,75.03261,0.92,,37.098,0.164
Britannia Industries Limited,BRITANNIA.NS,62.52591,96.48,0.66230005,58.424,0.037
Bharat Road Network Limited,BRNL.NS,0.9879249,22.36,0.44214,77.326,-0.776
Brooks Laboratories Limited,BROOKS.NS,18.481798,4.67,0.15979,6.772,0.128
BSE Limited,BSE.NS,60.840607,43.54,0.31448,0.0,0.394
Bombay Super Hybrid Seeds Limited,BSHSL.NS,41.261192,2.68,0.26303,24.979,-0.048
BSL Limited,BSL.NS,29.38131,5.35,0.04664,366.394,0.035
BIRLASOFT LIMITED,BSOFT.NS,27.131195,16.54,0.1328,4.089,-0.029
Bodhi Tree Multimedia Limited,BTML.NS,16.714285,0.49,0.1318,32.08,0.671
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,29.014917,22.79,0.1243,3.141,0.137
Barak Valley Cements Limited,BVCL.NS,27.740965,1.66,0.02955,28.58,0.135
The Byke Hospitality Ltd,BYKE.NS,51.92,1.0,0.02335,45.915,0.202
California Software Company Limited,CALSOFT.NS,150.0,0.1,0.04764,2.377,0.444
Camlin Fine Sciences Limited,CAMLINFINE.NS,19.282581,7.75,0.019550001,78.095,0.087
Campus Activewear Limited,CAMPUS.NS,64.5679,4.05,0.1665,48.005,0.16
Computer Age Management Services Limited,CAMS.NS,40.042778,18.7,0.40825,6.395,0.032
Canara Bank,CANBK.NS,6.353514,23.62,0.17573999,,0.125
Can Fin Homes Limited,CANFINHOME.NS,13.366314,69.23,0.18129998,658.72,0.224
Canara HSBC Life Insurance Company Limited,CANHLIFE.NS,118.46875,1.28,0.0838,,-0.311
Cantabil Retail India Limited,CANTABIL.NS,27.216042,9.35,0.20895,126.45,0.164
Capacit'e Infraprojects Limited,CAPACITE.NS,10.825243,23.69,0.11857,23.09,0.247
Capillary Technologies India Limited,CAPILLARY.NS,214.02821,3.19,,16.8,0.251
Capital Small Finance Bank Limited,CAPITALSFB.NS,8.862646,29.85,0.10177,,0.063
Caplin Point Laboratories Limited,CAPLIPOINT.NS,24.806421,77.23,0.20658001,0.166,0.105
Capital Trust Limited,CAPTRUST.NS,,-10.03,-0.35819998,134.274,
Carborundum Universal Limited,CARBORUNIV.NS,78.66419,10.78,0.05513,7.95,0.06
CARE Ratings Limited,CARERATING.NS,31.537857,50.85,0.19013001,2.913,0.162
Carraro India Limited,CARRARO.NS,30.392328,17.46,0.21754,37.201,0.331
Cartrade Tech Limited,CARTRADE.NS,74.21407,37.09,0.086619996,5.247,0.254
CARYSIL LIMITED,CARYSIL.NS,30.698736,28.48,0.15262,42.1,0.162
Castrol India Limited,CASTROLIND.NS,19.602837,9.87,,4.022,0.058
Consolidated Construction Consortium Limited,CCCL.NS,7.3632655,2.45,0.60971,0.108,0.167
Country Club Hospitality & Holidays Limited,CCHHL.NS,29.745098,0.51,0.02674,7.499,0.981
CCL Products (India) Limited,CCL.NS,37.133858,25.4,0.17368001,77.989,0.527
Central Depository Services (India) Limited,CDSL.NS,65.519226,22.63,0.28139,0.139,-0.048
CEAT Limited,CEATLTD.NS,31.481966,122.54,0.11236,67.986,0.142
Ceigall India Limited,CEIGALL.NS,17.54963,14.81,0.1375,69.07,0.045
Celebrity Fashions Limited,CELEBRITY.NS,,-2.77,-1.04147,565.147,0.081
Cello World Limited,CELLO.NS,35.767197,15.12,0.1514,0.221,0.226
Cemindia Projects Limited,CEMPRO.NS,30.78866,25.93,0.24184999,47.864,0.093
Century Enka Limited,CENTENKA.NS,16.676636,26.75,0.04126,2.535,-0.238
Century Extrusions Limited,CENTEXT.NS,16.585938,1.28,0.12344,63.677,0.03
Central Bank of India,CENTRALBK.NS,7.143411,5.16,0.12716,,0.003
Centrum Capital Limited,CENTRUM.NS,,-3.04,-0.088470004,307.801,-0.487
Centum Electronics Limited,CENTUM.NS,213.41441,11.51,0.03774,53.972,0.118
Century Plyboards (India) Limited,CENTURYPLY.NS,79.12919,10.45,0.09923001,66.141,0.171
Cera Sanitaryware Limited,CERA.NS,28.521883,181.65,0.1817,4.352,-0.009
Cerebra Integrated Technologies Limited,CEREBRAINT.NS,,-3.55,-0.25035998,29.8,-0.819
CESC Limited,CESC.NS,15.255494,10.92,0.116730005,141.107,0.121
Concord Enviro Systems Limited,CEWATER.NS,17.811882,25.25,0.11833999,30.084,-0.229
Capri Global Capital Limited,CGCL.NS,21.818071,8.19,0.13415,251.55,0.59
CG Power and Industrial Solutions Limited,CGPOWER.NS,94.5245,6.94,0.18687999,1.519,0.211
Chalet Hotels Limited,CHALET.NS,32.761814,26.45,0.18569,72.88,0.95
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,10.182796,46.5,0.20681,1.022,0.475
Chembond Material Technologies Limited,CHEMBOND.NS,15.132587,10.71,0.05311,3.705,-0.532
Chembond Chemicals Limited,CHEMBONDCH.NS,12.980834,12.0,,,
Chemcon Speciality Chemicals Limited,CHEMCON.NS,29.462555,6.81,0.04974,0.051,0.021
Chemfab Alkalis Limited,CHEMFAB.NS,,-4.75,-0.01767,28.847,-0.065
Chemplast Sanmar Limited,CHEMPLASTS.NS,,-13.66,-0.11826,96.728,0.041
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,10.545511,78.55,0.14144,21.902,0.351
Cheviot Company Limited,CHEVIOT.NS,11.255978,96.18,0.08522,1.473,0.441
Choice International Limited,CHOICEIN.NS,90.1864,9.12,0.16600999,35.606,0.125
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,30.772018,55.18,0.19619,724.311,0.196
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,15.65232,118.73,0.18281001,635.38,0.168
CIE Automotive India Limited,CIEINDIA.NS,18.62861,21.11,,7.022,0.111
Capital India Finance Limited,CIFL.NS,34.097343,1.13,0.05534,100.828,-0.211
Cigniti Technologies Limited,CIGNITITEC.NS,15.934629,103.41,0.29424998,1.799,0.136
Cineline India Limited,CINELINE.NS,,-2.65,-0.06365,71.321,0.11
Cinevista Limited,CINEVISTA.NS,Infinity,0.0,,43.705,190.49
Cipla Limited,CIPLA.NS,22.367443,67.33,0.17676,1.415,0.07
Clean Science and Technology Limited,CLEAN.NS,35.290813,24.93,0.18962999,0.142,0.027
CL Educate Limited,CLEDUCATE.NS,,-1.36,-0.026029998,103.966,0.665
Chaman Lal Setia Exports Limited,CLSEL.NS,13.608029,18.93,0.13114001,8.804,-0.261
CMS Info Systems Limited,CMSINFO.NS,16.010218,21.53,0.16128999,9.543,-0.025
Creative Newtech Limited,CNL.NS,21.102942,35.36,0.20156999,36.852,0.587
Coal India Limited,COALINDIA.NS,7.9444885,50.62,0.30576,12.976,0.185
Coastal Corporation Limited,COASTCORP.NS,56.95062,0.81,0.03869,153.742,0.032
Cochin Shipyard Limited,COCHINSHIP.NS,57.24532,28.86,0.13844,20.291,-0.022
Coffee Day Enterprises Limited,COFFEEDAY.NS,,-1.31,-0.03892,38.774,0.038
Coforge Limited,COFORGE.NS,51.502,32.49,0.15033,10.888,0.302
Cohance Lifesciences Limited,COHANCE.NS,66.3395,8.1,0.05508,11.486,1.156
Colgate Palmolive (India) Limited,COLPAL.NS,42.8009,48.77,0.8197,3.791,-0.062
Compuage Infocom Limited,COMPINFO.NS,,-43.7,,292.783,-0.698
Compucom Software Limited,COMPUSOFT.NS,40.0,0.41,0.022920001,32.821,-0.012
Commercial Syn Bags Limited,COMSYN.NS,23.417336,6.23,0.17233999,67.103,0.136
Container Corporation of India Limited,CONCOR.NS,30.267595,17.19,0.104329996,7.016,0.029
Concord Biotech Limited,CONCORDBIO.NS,43.421906,30.86,0.1893,0.088,-0.204
Confidence Petroleum India Limited,CONFIPET.NS,13.510949,2.74,0.06578,55.384,0.318
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,8.240893,20.59,0.06781,,0.109
Control Print Limited,CONTROLPR.NS,10.817526,63.79,0.25372,1.652,0.1
Coral India Finance & Housing Limited,CORALFINAC.NS,12.541795,3.23,0.058140002,,-0.402
Cords Cable Industries Limited,CORDSCABLE.NS,14.247462,12.81,0.091129996,57.801,0.234
Coromandel International Limited,COROMANDEL.NS,28.94297,81.36,0.20782,11.599,0.299
CORONA Remedies Limited,CORONA.NS,55.95326,24.39,0.27501,21.421,
COSMO FIRST LIMITED,COSMOFIRST.NS,11.984056,55.82,0.09851,110.979,0.211
Country Condo's Limited,COUNCODOS.NS,65.25,0.08,0.02333,0.046,0.17
CP Capital Limited,CPCAP.NS,5.490719,21.01,0.0687,14.352,-0.372
Career Point Edutech Limited,CPEDU.NS,21.535269,12.05,,,
Aditya Infotech Limited,CPPLUS.NS,89.23991,16.84,,8.041,0.375
Craftsman Automation Limited,CRAFTSMAN.NS,73.647705,100.2,0.082609996,109.273,0.649
Canara Robeco Asset Management Company Limited,CRAMC.NS,30.580936,10.07,,2.748,0.033
Creative Eye Limited,CREATIVEYE.NS,,-0.42,,28.762,-0.016
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,151.27098,8.34,0.01889,280.714,-0.083
Crest Ventures Limited,CREST.NS,21.750278,17.94,0.04168,15.576,-0.167
CRISIL Limited,CRISIL.NS,41.529984,102.55,,10.58,0.122
Crizac Limited,CRIZAC.NS,27.632326,10.58,0.37052,0.014,0.249
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,34.993187,7.34,0.13014,4.826,0.01
Crown Lifters Limited,CROWN.NS,14.498913,9.2,0.17774999,66.801,0.261
CSB Bank Limited,CSBBANK.NS,11.757474,35.79,0.14048,,0.282
CSL Finance Limited,CSLFINANCE.NS,8.944993,35.45,0.15006,137.222,0.175
Cambridge Technology Enterprises Limited,CTE.NS,,-7.78,-0.21295999,117.654,0.025
City Union Bank Limited,CUB.NS,18.024046,16.22,0.12852,,0.176
Cubex Tubings Limited,CUBEXTUB.NS,21.751444,5.19,0.09882,52.805,0.335
Cummins India Limited,CUMMINSIND.NS,52.05893,83.49,0.31142,0.308,0.264
Cupid Limited,CUPID.NS,211.23347,2.27,0.17591,7.019,1.032
Cura Technologies Limited,CURAA.NS,,-1.51,-0.12652999,55.07,
Cyber Media (India) Limited,CYBERMEDIA.NS,,-5.51,-4.9885902,,0.172
Cybertech Systems And Software Limited,CYBERTECH.NS,12.905013,11.37,0.16863,2.503,0.014
Cyient Limited,CYIENT.NS,21.647652,51.71,0.10576,7.224,-0.037
Cyient DLM Limited,CYIENTDLM.NS,41.077,10.26,0.08487,21.401,-0.202
Dabur India Limited,DABUR.NS,47.862747,10.2,0.16096,11.464,0.054
Dalmia Bharat Limited,DALBHARAT.NS,36.0641,59.91,0.06427,39.764,0.107
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS,7.0887575,42.25,0.109239995,16.971,0.067
Dam Capital Advisors Limited,DAMCAPITAL.NS,13.292637,15.89,,1.278,0.664
Damodar Industries Limited,DAMODARIND.NS,7.282609,4.14,0.06753,122.316,0.26
Dangee Dums Limited,DANGEE.NS,,-0.04,-0.036259998,121.846,0.022
Datamatics Global Services Limited,DATAMATICS.NS,20.93964,39.43,0.17094,12.851,0.205
Data Patterns (India) Limited,DATAPATTNS.NS,64.23123,41.69,0.16169001,0.378,2.378
Davangere Sugar Company Limited,DAVANGERE.NS,23.733332,0.15,0.029930001,46.8,0.225
D.B.Corp Limited,DBCORP.NS,13.456567,19.34,0.15502,12.612,0.099
Deepak Builders & Engineers India Limited,DBEIL.NS,11.740923,10.19,0.15385,35.454,-0.63
Dilip Buildcon Limited,DBL.NS,7.955456,59.94,0.16944,170.648,-0.218
Dhampur Bio Organics Limited,DBOL.NS,,-0.02,-5e-05,58.445,0.197
Valor Estate Limited,DBREALTY.NS,1697.857,0.07,0.00298,24.791,0.731
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,19.888,1.25,0.06589,3.583,-0.35
Dishman Carbogen Amcis Limited,DCAL.NS,28.637197,8.71,0.02254,40.201,-0.173
DCB Bank Limited,DCBBANK.NS,8.041509,21.2,0.11828,,0.08
Dc Infotech And Communication Limited,DCI.NS,22.822655,10.77,0.22364001,72.74,0.177
DCM  Limited,DCM.NS,6.604568,14.01,0.75782996,2.73,0.06
DCM Financial Services Limited,DCMFINSERV.NS,,-0.77,,,-0.662
DCM Nouvelle Limited,DCMNVL.NS,39.43804,3.47,0.00593,52.207,-0.08
DCM Shriram Limited,DCMSHRIRAM.NS,27.220398,45.69,0.10277,30.055,0.106
DCM Shriram Industries Limited,DCMSRIND.NS,7.7774606,7.01,0.068390004,33.1,-0.012
DCW Limited,DCW.NS,35.390533,1.69,0.04773,35.935,0.103
DCX Systems Limited,DCXINDIA.NS,86.5065,2.31,0.01844,0.242,-0.014
Ddev Plastiks Industries Limited,DDEVPLSTIK.NS,15.818942,19.11,0.23913,5.001,0.172
Deccan Cements Limited,DECCANCE.NS,32.183544,23.7,0.04546,101.902,0.165
DEE Development Engineers Limited,DEEDEV.NS,30.428572,7.0,0.06073,69.855,0.392
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS,16.107046,77.91,0.15364,62.046,0.094
Deepak Nitrite Limited,DEEPAKNTR.NS,45.273144,38.99,0.09961,22.412,-0.064
Deep Industries Limited,DEEPINDS.NS,,-6.13,-0.01441,10.086,0.692
Delhivery Limited,DELHIVERY.NS,222.54099,1.83,0.0147,17.226,0.169
DELPHI WORLD MONEY LIMITED,DELPHIFX.NS,109.231476,2.16,0.022079999,2547.188,-0.198
Delta Corp Limited,DELTACORP.NS,6.2932734,11.15,0.12361,1.395,-0.026
Delta Manufacturing Limited,DELTAMAGNT.NS,,-6.87,-0.48499,308.765,-0.28
Den Networks Limited,DEN.NS,7.873134,4.02,0.05217,0.575,-0.031
De Nora India Limited,DENORA.NS,140.47285,4.97,0.02104,,0.205
Denta Water and Infra Solutions Limited,DENTA.NS,13.561339,24.78,,3.104,0.538
Dev Information Technology Limited,DEVIT.NS,2.9186814,13.65,0.79074997,18.23,0.35
Dev Accelerator Limited,DEVX.NS,114.72221,0.36,,177.212,0.504
Devyani International Limited,DEVYANI.NS,2414.0,0.06,-0.02553,170.712,0.126
Digicontent Limited,DGCONTENT.NS,9.775811,3.39,0.76584,275.528,0.15
Dhampur Sugar Mills Limited,DHAMPURSUG.NS,14.034483,8.7,0.05175,44.818,0.197
Dhanlaxmi Bank Limited,DHANBANK.NS,9.621622,2.59,0.0681,,-0.003
Dhanuka Agritech Limited,DHANUKA.NS,19.440334,62.18,0.19896,2.063,-0.086
DHARAN INFRA-EPC LIMITED,DHARAN.NS,,-0.19,,7.248,-0.988
Dharmaj Crop Guard Limited,DHARMAJ.NS,16.568056,14.4,0.11586001,31.256,0.115
Dhruv Consultancy Services Limited,DHRUV.NS,12.824,3.75,0.06598,22.271,-0.411
Dhunseri Investments Limited,DHUNINV.NS,46.446102,28.11,0.00677,15.416,-0.448
Diamond Power Infrastructure Limited,DIACABS.NS,119.59829,1.17,,,0.751
Diamines & Chemicals Limited,DIAMINESQ.NS,,-5.18,-0.03121,6.365,-0.515
Prataap Snacks Limited,DIAMONDYD.NS,,-18.67,-0.061880004,7.953,-0.021
DIC India Limited,DICIND.NS,22.107437,21.78,,,0.008
Diffusion Engineers Limited,DIFFNKG.NS,29.334803,11.35,,5.714,0.013
Digidrive Distributors Limited,DIGIDRIVE.NS,12.660194,2.06,0.024920002,0.391,0.366
DiGiSPICE Technologies Limited,DIGISPICE.NS,,-0.69,-0.06548,5.5,0.144
Digitide Solutions Limited,DIGITIDE.NS,,,,46.421,0.07
Digjam Limited,DIGJAMLMTD.NS,92.6909,0.55,0.63910997,1263.899,1.507
Debock Industries Limited,DIL.NS,2.3066666,0.75,0.02765,,-1.0
Dish TV India Limited,DISHTV.NS,,-3.51,,,-0.264
Divgi Torqtransfer Systems Limited,DIVGIITTS.NS,61.15657,9.9,0.05069,0.262,0.538
Divi's Laboratories Limited,DIVISLAB.NS,68.70657,93.55,0.17061001,0.584,0.161
Dixon Technologies (India) Limited,DIXON.NS,47.85157,257.63,0.47032002,29.663,0.288
DJ Mediaprint & Logistics Limited,DJML.NS,27.726908,2.49,0.14199,37.044,0.699
DLF Limited,DLF.NS,40.173412,17.3,0.10293999,4.133,-0.168
D-Link (India) Limited,DLINKINDIA.NS,14.895584,29.21,0.2274,2.353,0.118
Avenue Supermarts Limited,DMART.NS,90.60766,41.8,0.12699,7.031,0.155
DMCC SPECIALITY CHEMICALS LIMITED,DMCC.NS,23.070726,11.17,0.12441,16.885,0.227
Diligent Media Corporation Limited,DNAMEDIA.NS,11.735294,0.34,,,-0.058
Dodla Dairy Limited,DODLA.NS,28.431557,43.1,0.1844,3.614,0.021
Dolat Algotech Limited,DOLATALGO.NS,12.527778,6.84,0.12205,18.689,-0.648
Dollar Industries Limited,DOLLAR.NS,19.230152,18.64,0.12429,37.489,0.056
Dolphin Offshore Enterprises (India) Limited,DOLPHIN.NS,30.914589,13.23,0.19451,64.104,0.471
DOMS Industries Limited,DOMS.NS,74.55073,34.5,0.21075001,13.64,0.241
Donear Industries Limited,DONEAR.NS,14.545455,6.49,0.14061,155.524,0.129
D. P. Abhushan Limited,DPABHUSHAN.NS,22.418892,66.27,0.35627,44.551,-0.037
DPSC Limited,DPSCLTD.NS,248.0,0.04,,17.775,-0.047
D P Wires Limited,DPWIRES.NS,23.50562,8.9,0.055970002,0.865,-0.121
DRC Systems India Limited,DRCSYSTEMS.NS,13.934426,1.22,0.24643,4.245,0.415
Dreamfolks Services Limited,DREAMFOLKS.NS,9.14038,12.11,0.21533,3.056,-0.351
Dredging Corporation of India Limited,DREDGECORP.NS,,-9.38,-0.01708,91.479,0.036
Dr. Reddy's Laboratories Limited,DRREDDY.NS,18.068329,70.25,0.1736,16.167,0.098
Dynacons Systems & Solutions Limited,DSSL.NS,15.135375,62.05,0.33928,63.929,0.15
Dhunseri Tea & Industries Limited,DTIL.NS,,-7.21,-0.01375,42.832,0.02
Ducon Infratechnologies Limited,DUCON.NS,8.255814,0.43,0.0809,57.96,0.023
Dhunseri Ventures Limited,DVL.NS,15.081066,19.12,0.019650001,16.554,-0.382
Dwarikesh Sugar Industries Limited,DWARKESH.NS,46.06173,0.81,0.02001,23.127,-0.001
Dynamic Cables Limited,DYCL.NS,21.072546,15.99,0.20727,18.848,0.202
Dynamatic Technologies Limited,DYNAMATECH.NS,194.2214,49.32,0.04583,77.708,0.086
Dynemic Products Limited,DYNPRO.NS,18.622732,14.34,0.07946,33.912,-0.087
E2E Networks Limited,E2E.NS,429.03766,4.78,0.00863,10.166,-0.079
Easy Trip Planners Limited,EASEMYTRIP.NS,149.4,0.05,0.015700001,4.102,-0.182
GNG Electronics Limited,EBGNG.NS,42.25503,7.45,,34.381,0.247
eClerx Services Limited,ECLERX.NS,36.630672,127.8,0.26288998,15.04,0.208
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY.NS,20.305412,9.79,0.27581,3.246,0.342
Edelweiss Financial Services Limited,EDELWEISS.NS,17.197138,6.29,0.09842,350.698,-0.389
EFC (I) Limited,EFCIL.NS,427.78574,0.7,0.32609,160.926,0.53
Eicher Motors Limited,EICHERMOT.NS,39.43146,185.74,0.24874,2.018,0.448
EID Parry India Limited,EIDPARRY.NS,16.530548,64.65,0.16527,18.388,0.246
Enviro Infra Engineers Limited,EIEL.NS,18.127846,11.42,0.2711,25.86,0.067
Euro India Fresh Foods Limited,EIFFL.NS,115.783195,2.26,0.05175,85.026,-0.008
EIH Associated Hotels Limited,EIHAHOTELS.NS,22.932138,15.62,0.19538,0.787,-0.177
EIH Limited,EIHOTEL.NS,34.566856,10.62,0.15303001,5.176,-0.04
Eimco Elecon (India) Limited,EIMCOELECO.NS,21.59633,70.85,0.09511,0.376,-0.501
Everest Kanto Cylinder Limited,EKC.NS,13.544084,8.62,0.07875,15.317,-0.019
Eldeco Housing And Industries Limited,ELDEHSG.NS,63.544304,15.01,0.03822,26.96,-0.01
Elecon Engineering Company Limited,ELECON.NS,20.777246,23.03,0.25869,11.49,0.138
Electrosteel Castings Limited,ELECTCAST.NS,9.476961,8.03,0.0875,37.702,-0.236
Electrotherm (India) Limited,ELECTHERM.NS,4.051552,219.78,,,0.001
Elgi Equipments Limited,ELGIEQUIP.NS,37.626015,12.3,0.20885,26.275,0.114
Elgi Rubber Company Limited,ELGIRUBCO.NS,,-5.6,-0.14986,183.179,-0.042
Elin Electronics Limited,ELIN.NS,21.088385,7.92,0.07169,2.771,0.23
Ellenbarrie Industrial Gases Limited,ELLEN.NS,,,,12.866,-0.058
Emami Limited,EMAMILTD.NS,29.820395,17.26,0.2713,2.457,-0.103
Emami Paper Mills Limited,EMAMIPAP.NS,36.414223,2.39,0.02664,101.476,-0.09
Emami Realty Limited,EMAMIREAL.NS,,-46.12,,,0.528
Embassy Developments Limited,EMBDL.NS,17.021738,3.68,-0.028570002,45.923,1.005
Emcure Pharmaceuticals Limited,EMCURE.NS,34.073013,41.91,0.1784,33.972,0.134
Electronics Mart India Limited,EMIL.NS,40.83004,2.53,0.06445,126.148,0.148
Emkay Global Financial Services Limited,EMKAY.NS,30.260973,8.43,0.07678,23.429,-0.347
Emmbi Industries Limited,EMMBI.NS,24.136585,4.1,0.03957,84.014,0.191
Emmvee Photovoltaic Power Limited,EMMVEE.NS,17.405867,10.57,,214.9,1.811
EMS Limited,EMSLIMITED.NS,14.601362,29.35,0.16903,15.798,-0.261
eMudhra Limited,EMUDHRA.NS,52.51965,11.45,0.1302,2.019,0.224
Endurance Technologies Limited,ENDURANCE.NS,40.634262,62.75,0.15271,19.638,0.23
Energy Development Company Limited,ENERGYDEV.NS,,-19.19,-1.6540401,1500.784,0.369
Engineers India Limited,ENGINERSIN.NS,21.457682,9.57,0.21128,0.731,0.337
Entertainment Network (India) Limited,ENIL.NS,46.06967,2.44,0.01596,23.226,0.243
Siemens Energy India Limited,ENRIN.NS,84.9822,30.89,0.28957,3.369,0.273
Entero Healthcare Solutions Limited,ENTERO.NS,37.618484,25.32,0.072569996,24.634,0.208
EPACK Durable Limited,EPACK.NS,66.42019,4.26,0.043759998,75.66,-0.434
EPack Prefab Technologies Limited,EPACKPEB.NS,50.050934,5.89,,32.125,0.616
Epigral Limited,EPIGRAL.NS,13.646267,93.63,0.22986999,25.565,-0.062
EPL Limited,EPL.NS,16.50311,12.86,0.17245,32.296,0.11
Equippp Social Impact Technologies Limited,EQUIPPP.NS,328.57144,0.07,0.17584999,71.587,20.965
Equitas Small Finance Bank Limited,EQUITASBNK.NS,,-0.8,-0.01545,58.933,-0.037
Eris Lifesciences Limited,ERIS.NS,50.12812,30.44,0.1342,68.185,0.069
Esab India Limited,ESABINDIA.NS,45.204006,134.8,0.54427,0.876,0.127
ESAF Small Finance Bank Limited,ESAFSFB.NS,,-11.48,-0.2888,,-0.123
Escorts Kubota Limited,ESCORTS.NS,32.625496,113.35,0.11486,0.871,0.122
Essar Shipping Limited,ESSARSHPNG.NS,8.929032,3.1,,,-1.0
Integra Essentia Limited,ESSENTIA.NS,51.333332,0.03,0.016619999,23.209,-0.08
Ester Industries Limited,ESTER.NS,218.53061,0.49,0.0051499996,93.212,0.07
ETERNAL LIMITED,ETERNAL.NS,1408.75,0.2,0.00721,10.875,1.832
Ethos Limited,ETHOSLTD.NS,82.02954,36.56,0.07491,19.497,0.29
Eureka Forbes Limited,EUREKAFORB.NS,66.50471,9.57,0.0421,2.009,0.147
Euro Panel Products Limited,EUROBOND.NS,19.199787,9.41,0.17198999,88.695,0.306
Euro Pratik Sales Limited,EUROPRATIK.NS,45.377644,6.62,,8.422,0.101
Eurotex Industries and Exports Limited,EUROTEXIND.NS,6.0680857,2.35,,,0.46
Eveready Industries India Limited,EVEREADY.NS,52.257553,6.29,0.100710005,75.46,0.067
Everest Industries Limited,EVERESTIND.NS,,-15.42,-0.041360002,53.597,-0.187
Excel Realty N Infra Limited,EXCEL.NS,160.0,0.01,0.00087,0.492,-0.63
Excel Industries Limited,EXCELINDUS.NS,15.966171,58.53,0.04329,0.621,0.005
Excelsoft Technologies Limited,EXCELSOFT.NS,29.282393,3.01,,11.581,0.191
Exicom Tele-Systems Limited,EXICOM.NS,,-20.68,-0.35738,78.314,0.837
Exide Industries Limited,EXIDEIND.NS,39.475674,9.25,0.05558,11.151,-0.019
Expleo Solutions Limited,EXPLEOSOL.NS,14.784618,67.09,0.15142,2.866,0.09
Exxaro Tiles Limited,EXXARO.NS,53.733334,0.15,0.024500001,31.657,-0.013
Fabtech Technologies Limited,FABTECH.NS,19.353111,10.45,,21.62,1.068
Fertilizers and Chemicals Travancore Limited,FACT.NS,562.4367,1.58,0.07755,278.992,0.125
Fairchem Organics Limited,FAIRCHEMOR.NS,149.60385,4.67,0.020469999,18.502,-0.195
Faze Three Limited,FAZE3Q.NS,31.362986,13.94,0.08245,54.853,0.361
Fineotex Chemical Limited,FCL.NS,29.302326,0.86,0.13344,0.004,-0.055
FCS Software Solutions Limited,FCSSOFT.NS,Infinity,0.0,0.00104,,-0.117
FDC Limited,FDC.NS,29.361933,13.87,0.09546,0.852,-0.079
The Federal Bank  Limited,FEDERALBNK.NS,16.40576,15.97,0.11451,,0.02
Fedbank Financial Services Limited,FEDFINA.NS,22.552671,6.55,0.09607001,383.461,0.097
Future Enterprises Limited,FEL.NS,,-31.09,-2.38273,,-0.132
Future Enterprises Limited,FELDVR.NS,,-34.04,-2.38273,,-0.132
