Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00+05:30,221.9574735006602,223.6582970523894,220.70737234254048,222.1785888671875,4069264,0.0,0.0
2010-01-05 00:00:00+05:30,222.80783932737577,223.7177755874956,221.1155285472091,222.9226531982422,6895528,0.0,0.0
2010-01-06 00:00:00+05:30,228.16538641743236,228.16538641743236,218.98945540264856,219.66978454589844,6817288,0.0,0.0
2010-01-07 00:00:00+05:30,219.967472355202,219.967472355202,214.1506445647265,214.73318481445312,10892600,0.0,0.0
2010-01-08 00:00:00+05:30,214.2186389090534,214.58431997582727,209.03112919351062,209.55838012695312,12649312,0.0,0.0
2010-01-11 00:00:00+05:30,210.485354668201,213.00256020314598,210.3918011001798,211.72268676757812,7849656,0.0,0.0
2010-01-12 00:00:00+05:30,212.60289825160032,220.5967672258605,212.60289825160032,219.99722290039062,24859680,0.0,0.0
2010-01-13 00:00:00+05:30,210.6342280040479,229.18595073963647,210.6342280040479,228.20797729492188,19704040,0.0,0.0
2010-01-14 00:00:00+05:30,227.82530931589253,229.85778510689084,225.37611930746385,228.739501953125,8413904,0.0,0.0
2010-01-15 00:00:00+05:30,228.7394664246542,228.9733296211103,225.71199274027603,227.5531463623047,5049504,0.0,0.0
2010-01-18 00:00:00+05:30,226.46467539514225,228.76078738750758,225.86938710082532,228.47589111328125,6140088,0.0,0.0
2010-01-19 00:00:00+05:30,227.91029640130833,228.59062564429732,223.49666874221765,224.15997314453125,5837512,0.0,0.0
2010-01-20 00:00:00+05:30,225.24428926566958,227.33205416613274,224.3386090993161,226.013916015625,6091992,0.0,0.0
2010-01-21 00:00:00+05:30,224.76376719211956,226.60915605828515,221.10699761616,223.25003051757812,6682792,0.0,0.0
2010-01-22 00:00:00+05:30,221.10697806507093,221.95738951916735,217.0250030854081,219.031982421875,13486496,0.0,0.0
2010-01-25 00:00:00+05:30,216.85493171879588,218.55149850278423,214.13361492859923,216.2001190185547,6498712,0.0,0.0
2010-01-27 00:00:00+05:30,215.3242250919485,215.48155954857427,211.3400382936412,212.79425048828125,9840856,0.0,0.0
2010-01-28 00:00:00+05:30,213.70849232153606,217.2717095751383,210.85961269846743,211.9013671875,12732872,0.0,0.0
2010-01-29 00:00:00+05:30,208.55493479825358,212.60290236406627,204.50698799444308,210.51939392089844,15012280,0.0,0.0
2010-02-01 00:00:00+05:30,208.09572837319925,215.15414498741075,203.25689444488435,208.4571533203125,12308784,0.0,0.0
2010-02-02 00:00:00+05:30,212.687905629458,212.687905629458,205.93988240594706,207.4961395263672,9889384,0.0,0.0
2010-02-03 00:00:00+05:30,208.35084075608572,212.60289873069974,208.35084075608572,210.32379150390625,6405608,0.0,0.0
2010-02-04 00:00:00+05:30,209.6265165441315,210.05172246004253,205.16185442706583,206.5692901611328,6176408,0.0,0.0
2010-02-05 00:00:00+05:30,203.28237190601746,203.96695736727688,198.06085320908417,200.07632446289062,13544872,0.0,0.0
2010-02-08 00:00:00+05:30,201.96423987521618,207.67050993961897,199.37899695062927,204.40493774414062,9252480,0.0,0.0
2010-02-09 00:00:00+05:30,204.43894002428775,211.072150224743,203.60978874923083,210.37481689453125,10387392,0.0,0.0
2010-02-10 00:00:00+05:30,211.83755693678748,212.279766873536,208.18078658420544,209.7923126220703,7187984,0.0,0.0
2010-02-11 00:00:00+05:30,210.3067609924845,214.14636055618894,210.05163754607227,212.47105407714844,6453888,0.0,0.0
2010-02-15 00:00:00+05:30,213.19818486570384,216.208633578951,210.46411991823788,212.4880828857422,8950128,0.0,0.0
2010-02-16 00:00:00+05:30,212.6028864301538,216.93998531332892,211.60365286393207,216.12783813476562,4418096,0.0,0.0
2010-02-17 00:00:00+05:30,216.87197193976925,218.24963464200482,213.75947779945963,214.1889190673828,7991184,0.0,0.0
2010-02-18 00:00:00+05:30,214.55885847523035,216.5998464274323,213.62340566380448,215.46453857421875,3721696,0.0,0.0
2010-02-19 00:00:00+05:30,214.72036102069586,216.3871756302114,213.0407985452796,215.35816955566406,5998992,0.0,0.0
2010-02-22 00:00:00+05:30,217.28865578577475,220.40114949185747,217.28865578577475,218.4154510498047,5855400,0.0,0.0
2010-02-23 00:00:00+05:30,217.54381847927414,220.17158224530303,217.2801825557162,219.5167694091797,3786032,0.0,0.0
2010-02-24 00:00:00+05:30,218.38570692796273,220.96245832332173,216.94000715468573,219.091552734375,5427016,0.0,0.0
2010-02-25 00:00:00+05:30,218.60679978701785,223.63271955443395,218.60679978701785,222.5824737548828,8729568,0.0,0.0
2010-02-26 00:00:00+05:30,222.72278298080045,223.65823567755066,219.58477269377497,221.2728271484375,10546368,0.0,0.0
2010-03-02 00:00:00+05:30,223.7900846158491,225.422870851204,223.0332057809895,224.59371948242188,8534656,0.0,0.0
2010-03-03 00:00:00+05:30,225.4526471919735,227.61268453906527,223.883621043889,226.7410125732422,5904976,0.0,0.0
2010-03-04 00:00:00+05:30,226.37956481920446,226.5496471368748,221.447177606765,223.13099670410156,6755240,0.0,0.0
2010-03-05 00:00:00+05:30,223.98995761096262,224.5087171181976,222.2168614500174,224.14303588867188,4984808,0.0,0.0
2010-03-08 00:00:00+05:30,225.61417990626904,227.8550226025242,224.34707502576822,226.17120361328125,8664992,0.0,0.0
