Date,Close_Final
2010-01-04 00:00:00+05:30,218.59310913085938
2010-01-05 00:00:00+05:30,217.61749267578125
2010-01-06 00:00:00+05:30,221.13372802734375
2010-01-07 00:00:00+05:30,224.80230712890625
2010-01-08 00:00:00+05:30,224.212890625
2010-01-11 00:00:00+05:30,219.8125762939453
2010-01-12 00:00:00+05:30,220.39183044433594
2010-01-13 00:00:00+05:30,221.25564575195312
2010-01-14 00:00:00+05:30,227.98316955566406
2010-01-15 00:00:00+05:30,225.75758361816406
2010-01-18 00:00:00+05:30,223.4710693359375
2010-01-19 00:00:00+05:30,220.52392578125
2010-01-20 00:00:00+05:30,218.99957275390625
2010-01-21 00:00:00+05:30,214.23342895507812
2010-01-22 00:00:00+05:30,214.1927947998047
2010-01-25 00:00:00+05:30,211.79446411132812
2010-01-27 00:00:00+05:30,208.8473663330078
2010-01-28 00:00:00+05:30,210.7985076904297
2010-01-29 00:00:00+05:30,212.63795471191406
2010-02-01 00:00:00+05:30,212.47531127929688
2010-02-02 00:00:00+05:30,208.79653930664062
2010-02-03 00:00:00+05:30,210.14817810058594
2010-02-04 00:00:00+05:30,207.1400604248047
2010-02-05 00:00:00+05:30,199.52845764160156
2010-02-08 00:00:00+05:30,202.0995330810547
2010-02-09 00:00:00+05:30,201.87594604492188
2010-02-10 00:00:00+05:30,200.21946716308594
2010-02-11 00:00:00+05:30,206.32708740234375
2010-02-15 00:00:00+05:30,205.2803497314453
2010-02-16 00:00:00+05:30,206.85556030273438
2010-02-17 00:00:00+05:30,209.86358642578125
2010-02-18 00:00:00+05:30,202.8007354736328
2010-02-19 00:00:00+05:30,199.8332977294922
2010-02-22 00:00:00+05:30,198.76626586914062
2010-02-23 00:00:00+05:30,198.23785400390625
2010-02-24 00:00:00+05:30,198.93905639648438
2010-02-25 00:00:00+05:30,195.748046875
2010-02-26 00:00:00+05:30,198.96949768066406
2010-03-02 00:00:00+05:30,199.8332977294922
2010-03-03 00:00:00+05:30,208.28842163085938
2010-03-04 00:00:00+05:30,206.09335327148438
2010-03-05 00:00:00+05:30,205.23973083496094
2010-03-08 00:00:00+05:30,204.08119201660156
2010-03-09 00:00:00+05:30,201.28656005859375
2010-03-10 00:00:00+05:30,205.0263214111328
2010-03-11 00:00:00+05:30,206.59130859375
2010-03-12 00:00:00+05:30,207.63803100585938
2010-03-15 00:00:00+05:30,208.948974609375
2010-03-16 00:00:00+05:30,217.05859375
2010-03-17 00:00:00+05:30,217.4142608642578
2010-03-18 00:00:00+05:30,218.8878173828125
2010-03-19 00:00:00+05:30,221.95684814453125
2010-03-22 00:00:00+05:30,218.27809143066406
2010-03-23 00:00:00+05:30,221.82472229003906
2010-03-25 00:00:00+05:30,221.8348846435547
2010-03-26 00:00:00+05:30,223.66416931152344
2010-03-29 00:00:00+05:30,222.21092224121094
2010-03-30 00:00:00+05:30,221.16416931152344
2010-03-31 00:00:00+05:30,218.33901977539062
2010-04-01 00:00:00+05:30,221.95684814453125
2010-04-05 00:00:00+05:30,228.83677673339844
2010-04-06 00:00:00+05:30,228.28799438476562
2010-04-07 00:00:00+05:30,229.60911560058594
2010-04-08 00:00:00+05:30,224.9039306640625
2010-04-09 00:00:00+05:30,228.59288024902344
2010-04-12 00:00:00+05:30,229.13148498535156
2010-04-13 00:00:00+05:30,227.82054138183594
2010-04-15 00:00:00+05:30,221.6824951171875
2010-04-16 00:00:00+05:30,220.3715362548828
2010-04-19 00:00:00+05:30,215.80862426757812
2010-04-20 00:00:00+05:30,216.09312438964844
2010-04-21 00:00:00+05:30,214.2435760498047
2010-04-22 00:00:00+05:30,218.6439208984375
2010-04-23 00:00:00+05:30,221.17434692382812
2010-04-26 00:00:00+05:30,217.7292938232422
2010-04-27 00:00:00+05:30,215.69680786132812
2010-04-28 00:00:00+05:30,206.75389099121094
2010-04-29 00:00:00+05:30,210.37171936035156
2010-04-30 00:00:00+05:30,210.0770263671875
2010-05-03 00:00:00+05:30,208.0749969482422
2010-05-04 00:00:00+05:30,207.54656982421875
2010-05-05 00:00:00+05:30,207.44493103027344
2010-05-06 00:00:00+05:30,204.8433837890625
2010-05-07 00:00:00+05:30,209.91444396972656
2010-05-10 00:00:00+05:30,221.0086669921875
2010-05-11 00:00:00+05:30,218.63351440429688
2010-05-12 00:00:00+05:30,221.73550415039062
2010-05-13 00:00:00+05:30,219.45252990722656
2010-05-14 00:00:00+05:30,213.68881225585938
2010-05-17 00:00:00+05:30,208.14004516601562
2010-05-18 00:00:00+05:30,208.96926879882812
2010-05-19 00:00:00+05:30,204.4749755859375
2010-05-20 00:00:00+05:30,204.74114990234375
2010-05-21 00:00:00+05:30,203.8402557373047
2010-05-24 00:00:00+05:30,209.38900756835938
2010-05-25 00:00:00+05:30,201.81321716308594
2010-05-26 00:00:00+05:30,206.39962768554688
2010-05-27 00:00:00+05:30,209.30712890625
2010-05-28 00:00:00+05:30,212.2555694580078
2010-05-31 00:00:00+05:30,214.08804321289062
2010-06-01 00:00:00+05:30,206.91151428222656
2010-06-02 00:00:00+05:30,207.01388549804688
2010-06-03 00:00:00+05:30,211.05772399902344
2010-06-04 00:00:00+05:30,211.13963317871094
2010-06-07 00:00:00+05:30,206.33819580078125
2010-06-08 00:00:00+05:30,204.01431274414062
2010-06-09 00:00:00+05:30,206.19488525390625
2010-06-10 00:00:00+05:30,207.8943328857422
2010-06-11 00:00:00+05:30,214.25184631347656
2010-06-14 00:00:00+05:30,217.7530975341797
2010-06-15 00:00:00+05:30,218.2854461669922
2010-06-16 00:00:00+05:30,216.61671447753906
2010-06-17 00:00:00+05:30,219.37063598632812
2010-06-18 00:00:00+05:30,215.87965393066406
2010-06-21 00:00:00+05:30,218.1933135986328
2010-06-22 00:00:00+05:30,217.81454467773438
2010-06-23 00:00:00+05:30,216.77029418945312
2010-06-24 00:00:00+05:30,215.4087371826172
2010-06-25 00:00:00+05:30,217.64048767089844
2010-06-28 00:00:00+05:30,223.20970153808594
2010-06-29 00:00:00+05:30,218.56187438964844
2010-06-30 00:00:00+05:30,223.14833068847656
2010-07-01 00:00:00+05:30,220.36367797851562
2010-07-02 00:00:00+05:30,218.86900329589844
2010-07-05 00:00:00+05:30,218.7358856201172
2010-07-06 00:00:00+05:30,219.88250732421875
2010-07-07 00:00:00+05:30,215.71585083007812
2010-07-08 00:00:00+05:30,216.44271850585938
2010-07-09 00:00:00+05:30,216.55531311035156
2010-07-12 00:00:00+05:30,216.26864624023438
2010-07-13 00:00:00+05:30,219.96441650390625
2010-07-14 00:00:00+05:30,219.1761474609375
2010-07-15 00:00:00+05:30,219.79039001464844
2010-07-16 00:00:00+05:30,217.64048767089844
2010-07-19 00:00:00+05:30,216.22772216796875
2010-07-20 00:00:00+05:30,215.59295654296875
2010-07-21 00:00:00+05:30,216.70889282226562
2010-07-22 00:00:00+05:30,216.83172607421875
2010-07-23 00:00:00+05:30,217.12864685058594
2010-07-26 00:00:00+05:30,215.62367248535156
2010-07-27 00:00:00+05:30,215.7056121826172
2010-07-28 00:00:00+05:30,209.1023406982422
2010-07-29 00:00:00+05:30,206.8296661376953
2010-07-30 00:00:00+05:30,206.72727966308594
2010-08-02 00:00:00+05:30,207.73048400878906
2010-08-03 00:00:00+05:30,210.43324279785156
2010-08-04 00:00:00+05:30,208.0376434326172
2010-08-05 00:00:00+05:30,206.19488525390625
2010-08-06 00:00:00+05:30,204.77186584472656
2010-08-09 00:00:00+05:30,203.44094848632812
2010-08-10 00:00:00+05:30,202.27391052246094
2010-08-11 00:00:00+05:30,201.3218231201172
2010-08-12 00:00:00+05:30,199.14122009277344
2010-08-13 00:00:00+05:30,200.4720916748047
2010-08-16 00:00:00+05:30,200.02162170410156
2010-08-17 00:00:00+05:30,198.74191284179688
2010-08-18 00:00:00+05:30,197.50318908691406
2010-08-19 00:00:00+05:30,200.08306884765625
2010-08-20 00:00:00+05:30,202.4274444580078
2010-08-23 00:00:00+05:30,200.02162170410156
2010-08-24 00:00:00+05:30,199.10025024414062
2010-08-25 00:00:00+05:30,198.1583709716797
2010-08-26 00:00:00+05:30,195.83447265625
2010-08-27 00:00:00+05:30,194.43191528320312
2010-08-30 00:00:00+05:30,194.09408569335938
2010-08-31 00:00:00+05:30,188.20748901367188
2010-09-01 00:00:00+05:30,191.68826293945312
2010-09-02 00:00:00+05:30,191.94419860839844
2010-09-03 00:00:00+05:30,189.5383758544922
2010-09-06 00:00:00+05:30,195.05638122558594
2010-09-07 00:00:00+05:30,197.03224182128906
2010-09-08 00:00:00+05:30,196.4794464111328
2010-09-09 00:00:00+05:30,196.26443481445312
2010-09-13 00:00:00+05:30,203.2157745361328
2010-09-14 00:00:00+05:30,202.32510375976562
2010-09-15 00:00:00+05:30,207.597412109375
2010-09-16 00:00:00+05:30,204.82305908203125
2010-09-17 00:00:00+05:30,210.3513641357422
2010-09-20 00:00:00+05:30,213.22811889648438
2010-09-21 00:00:00+05:30,211.94839477539062
2010-09-22 00:00:00+05:30,208.85665893554688
2010-09-23 00:00:00+05:30,204.2702178955078
2010-09-24 00:00:00+05:30,205.08921813964844
2010-09-27 00:00:00+05:30,206.83985900878906
2010-09-28 00:00:00+05:30,204.44427490234375
2010-09-29 00:00:00+05:30,204.54664611816406
2010-09-30 00:00:00+05:30,202.14080810546875
2010-10-01 00:00:00+05:30,206.36892700195312
2010-10-04 00:00:00+05:30,208.4062042236328
2010-10-05 00:00:00+05:30,209.63470458984375
2010-10-06 00:00:00+05:30,213.9549560546875
2010-10-07 00:00:00+05:30,212.76739501953125
2010-10-08 00:00:00+05:30,214.9173126220703
2010-10-11 00:00:00+05:30,218.920166015625
2010-10-12 00:00:00+05:30,216.13558959960938
2010-10-13 00:00:00+05:30,219.70849609375
2010-10-14 00:00:00+05:30,216.83172607421875
2010-10-15 00:00:00+05:30,213.01309204101562
2010-10-18 00:00:00+05:30,214.4668426513672
2010-10-19 00:00:00+05:30,213.84234619140625
2010-10-20 00:00:00+05:30,214.8763427734375
2010-10-21 00:00:00+05:30,221.46934509277344
2010-10-22 00:00:00+05:30,221.50006103515625
2010-10-25 00:00:00+05:30,223.25070190429688
