Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00+05:30,221.76373446797353,221.76373446797353,207.6888283334868,218.5930633544922,76646086,0.0,0.0
2010-01-05 00:00:00+05:30,233.71472368509768,233.71472368509768,216.54026734704195,217.6174774169922,21392825,0.0,0.0
2010-01-06 00:00:00+05:30,219.4873823501729,222.45481176562942,217.60733879271046,221.13369750976562,23691760,0.0,0.0
2010-01-07 00:00:00+05:30,221.13369260127268,226.62137802045964,219.1012039575348,224.80230712890625,26197920,0.0,0.0
2010-01-08 00:00:00+05:30,225.19862652115629,226.37747120630857,222.75965389203574,224.21287536621094,15110149,0.0,0.0
2010-01-11 00:00:00+05:30,230.62532134672412,233.67406064398165,213.41024480885477,219.8125457763672,188649642,0.0,0.0
2010-01-12 00:00:00+05:30,222.5564264264373,231.15381059593588,218.89796045896998,220.39183044433594,32790509,0.0,0.0
2010-01-13 00:00:00+05:30,221.13368524886295,221.94666711176538,217.19066690840523,221.25563049316406,15360176,0.0,0.0
2010-01-14 00:00:00+05:30,220.72719493661396,228.6132047468954,220.72719493661396,227.983154296875,24545629,0.0,0.0
2010-01-15 00:00:00+05:30,228.81644302775993,231.47899564545537,224.5990613837743,225.757568359375,18766617,0.0,0.0
2010-01-18 00:00:00+05:30,224.9954104505233,226.91610246583943,221.93652203173963,223.47105407714844,14172193,0.0,0.0
2010-01-19 00:00:00+05:30,223.57265349183442,224.8022951490161,220.04629504097605,220.52394104003906,13064666,0.0,0.0
2010-01-20 00:00:00+05:30,222.55646405954624,222.98328606576155,217.8817597701065,218.99961853027344,19331024,0.0,0.0
2010-01-21 00:00:00+05:30,218.49144169642827,218.89793938340492,213.46106504304905,214.2333984375,18611321,0.0,0.0
2010-01-22 00:00:00+05:30,211.58105087607228,217.6784898858188,209.2436990295434,214.19277954101562,39869565,0.0,0.0
2010-01-25 00:00:00+05:30,213.33911400644803,214.30454096032943,210.7070613996043,211.79443359375,13393277,0.0,0.0
2010-01-27 00:00:00+05:30,210.15831851992124,213.4102869421013,207.31284784645905,208.8473663330078,24843485,0.0,0.0
2010-01-28 00:00:00+05:30,211.37777641523326,212.68872846704815,208.32906396537487,210.79852294921875,33223459,0.0,0.0
2010-01-29 00:00:00+05:30,209.93475331308366,213.77613763375646,206.92668875709745,212.63795471191406,23333042,0.0,0.0
2010-02-01 00:00:00+05:30,210.86969018774147,214.42653549523686,210.47335452328508,212.47535705566406,12132865,0.0,0.0
2010-02-02 00:00:00+05:30,213.81672297139534,214.7008530014257,208.1461071105603,208.7965087890625,17248998,0.0,0.0
2010-02-03 00:00:00+05:30,209.56889573081114,213.0850925458313,209.56889573081114,210.14816284179688,15052266,0.0,0.0
2010-02-04 00:00:00+05:30,210.9712975793556,210.9712975793556,206.09335179623542,207.14007568359375,11974603,0.0,0.0
2010-02-05 00:00:00+05:30,198.16667810490787,204.82303234899214,198.16667810490787,199.52842712402344,29882876,0.0,0.0
2010-02-08 00:00:00+05:30,200.19918043468044,204.1320236100008,198.1667051645234,202.09954833984375,25894932,0.0,0.0
2010-02-09 00:00:00+05:30,201.9775670836325,202.8413730477967,199.73168785787988,201.87594604492188,14292031,0.0,0.0
2010-02-10 00:00:00+05:30,203.22756206127536,203.22756206127536,199.5894200574825,200.21949768066406,18261247,0.0,0.0
2010-02-11 00:00:00+05:30,201.06293850817661,207.27215955928506,200.91049340200368,206.32705688476562,23450102,0.0,0.0
2010-02-15 00:00:00+05:30,208.73557365402837,208.73557365402837,204.79255516876518,205.2803497314453,13498617,0.0,0.0
2010-02-16 00:00:00+05:30,205.30064330738549,207.51604950080417,204.26408171229716,206.85549926757812,10068256,0.0,0.0
