Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00+05:30,48.57268678789947,48.69918105885004,48.093827682458524,48.50944137573242,2802145,0.0,0.0
2010-01-05 00:00:00+05:30,48.78050288733074,50.37971243860777,46.982516600900254,49.22322082519531,18410675,0.0,0.0
2010-01-06 00:00:00+05:30,49.40392110843707,49.84663902485744,48.26549671583698,48.52751541137695,8991010,0.0,0.0
2010-01-07 00:00:00+05:30,48.70821491613029,48.744356136606314,47.53365282359134,47.705318450927734,5386165,0.0,0.0
2010-01-08 00:00:00+05:30,47.88602657134497,48.1932200872145,47.343921988806684,47.47944641113281,4819155,0.0,0.0
2010-01-11 00:00:00+05:30,47.97637048505325,48.9340921434533,47.7143552543787,48.3558464050293,4908175,0.0,0.0
2010-01-12 00:00:00+05:30,48.42812568542763,48.879880602070116,47.045756743418906,47.542686462402344,6424270,0.0,0.0
2010-01-13 00:00:00+05:30,47.289707129730594,47.533655210267725,46.38619725216341,47.443302154541016,9733245,0.0,0.0
2010-01-14 00:00:00+05:30,47.52462033053895,48.988308879952505,47.52462033053895,48.62690353393555,8301960,0.0,0.0
2010-01-15 00:00:00+05:30,48.916023505557,49.19611280429382,48.09382966684456,48.26549530029297,3422405,0.0,0.0
2010-01-18 00:00:00+05:30,47.91313111171822,49.421994506795926,47.91313111171822,49.20515060424805,4537200,0.0,0.0
2010-01-19 00:00:00+05:30,49.512342804827895,51.62655615028954,49.42199319169697,51.31936264038086,27471720,0.0,0.0
2010-01-20 00:00:00+05:30,51.50007058307062,51.997000399373306,49.15094593512128,49.3677864074707,24429145,0.0,0.0
2010-01-21 00:00:00+05:30,49.13286638139111,49.21418240538064,47.52461651211109,47.831809997558594,15086635,0.0,0.0
2010-01-22 00:00:00+05:30,47.19936044723667,47.70532380421209,46.07900661307403,46.846988677978516,12970865,0.0,0.0
2010-01-25 00:00:00+05:30,46.702420766079435,46.702420766079435,43.892508156471514,44.416542053222656,12330230,0.0,0.0
2010-01-27 00:00:00+05:30,43.91058023776278,44.26295199774391,41.796366910959875,42.618560791015625,15789805,0.0,0.0
